Series Name,Series Code,Country Name,Country Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
GDP (current US$),NY.GDP.MKTP.CD,Afghanistan,AFG,18116562464.9088,18753469630.2586,18053228578.8878,18799450742.7823
GDP (current US$),NY.GDP.MKTP.CD,Albania,ALB,11861199830.8396,13019689336.6919,15156432309.8977,15400242874.8812
GDP (current US$),NY.GDP.MKTP.CD,Algeria,DZA,160034163871.455,170097014589.134,174910878623.049,171767403748.19
GDP (current US$),NY.GDP.MKTP.CD,American Samoa,ASM,671000000,612000000,639000000,648000000
GDP (current US$),NY.GDP.MKTP.CD,Andorra,AND,2896679211.86628,3000180750.11297,3218316013.22626,3155065487.51819
GDP (current US$),NY.GDP.MKTP.CD,Angola,AGO,101123851090.455,122123822333.59,101353230784.594,89417190341.2533
GDP (current US$),NY.GDP.MKTP.CD,Antigua and Barbuda,ATG,1436585185.18519,1467977777.77778,1605944444.44444,1687533333.33333
GDP (current US$),NY.GDP.MKTP.CD,Argentina,ARG,557531376217.967,643628665302.155,524819742918.669,451932356085.842
GDP (current US$),NY.GDP.MKTP.CD,Armenia,ARM,10546135160.031,11527458565.7334,12457941907.0333,13619291361.2814
GDP (current US$),NY.GDP.MKTP.CD,Aruba,ABW,2983636871.50838,3092430167.59777,3202188606.92893,..
GDP (current US$),NY.GDP.MKTP.CD,Australia,AUS,1206685107002.47,1326882872011.46,1428529571351.06,1391952510370.48
GDP (current US$),NY.GDP.MKTP.CD,Austria,AUT,395837353031.499,417261151844.977,455168151938.941,445011872704.47
GDP (current US$),NY.GDP.MKTP.CD,Azerbaijan,AZE,37867518957.1975,40865558912.3867,47112941176.4706,48174235294.1176
GDP (current US$),NY.GDP.MKTP.CD,"Bahamas, The",BHS,11992600000,12359700000,12837800000,13164400000
GDP (current US$),NY.GDP.MKTP.CD,Bahrain,BHR,32234973404.2553,35473776595.7447,37801462765.9574,38652579787.234
GDP (current US$),NY.GDP.MKTP.CD,Bangladesh,BGD,221415188000.475,249710922462.309,274038973437.275,302571320445.75
GDP (current US$),NY.GDP.MKTP.CD,Barbados,BRB,4830000000,4978000000,5086500000,5209000000
GDP (current US$),NY.GDP.MKTP.CD,Belarus,BLR,47722657820.6675,54726595249.1849,60031262269.3365,64409647193.8044
GDP (current US$),NY.GDP.MKTP.CD,Belgium,BEL,476062757356.927,502764720556.354,543273794572.392,535288715239.999
GDP (current US$),NY.GDP.MKTP.CD,Belize,BLZ,1789304087.78561,1858529676.71857,1915899786.96407,1982518540.6134
GDP (current US$),NY.GDP.MKTP.CD,Benin,BEN,11821066152.5979,12701654743.2149,14262407011.5254,14391686632.7821
GDP (current US$),NY.GDP.MKTP.CD,Bermuda,BMU,6899911000,7142316000,7224329000,7484113000
GDP (current US$),NY.GDP.MKTP.CD,Bhutan,BTN,2158972129.00307,2450364928.07302,2446866404.93058,2535657068.96575
GDP (current US$),NY.GDP.MKTP.CD,Bolivia,BOL,33941126200.0606,37508642165.3366,40287647930.4761,40895322843.7851
GDP (current US$),NY.GDP.MKTP.CD,Bosnia and Herzegovina,BIH,16914287348.9819,18079075770.6713,20177409351.4329,20201323260.0733
GDP (current US$),NY.GDP.MKTP.CD,Botswana,BWA,15082578064.8002,16088437675.1648,16914245098.0392,16593720655.6402
GDP (current US$),NY.GDP.MKTP.CD,Brazil,BRA,1795693265810.23,2063514688761.98,1916933708381.89,1877824273720.78
GDP (current US$),NY.GDP.MKTP.CD,British Virgin Islands,VGB,..,..,..,..
