measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,8,Taiwan (Province of China),1,Male,27,Age-standardized,718,Self-harm,3,Rate,2015,17.93122687095787,18.679789725573848,17.17410803368674
1,Deaths,8,Taiwan (Province of China),2,Female,27,Age-standardized,718,Self-harm,3,Rate,2015,8.52441607102877,8.964315501804101,8.11256391296549
1,Deaths,8,Taiwan (Province of China),3,Both,27,Age-standardized,718,Self-harm,3,Rate,2015,13.12947544593754,13.567660338148368,12.634414211653699
1,Deaths,40,Turkmenistan,1,Male,27,Age-standardized,718,Self-harm,3,Rate,2015,13.256758014973324,14.548317700196765,11.988362853333781
1,Deaths,40,Turkmenistan,2,Female,27,Age-standardized,718,Self-harm,3,Rate,2015,4.588068250508048,5.090945694467776,4.091724585322071
1,Deaths,40,Turkmenistan,3,Both,27,Age-standardized,718,Self-harm,3,Rate,2015,8.978555883200487,9.804409914782307,8.156502252840971
1,Deaths,87,Luxembourg,1,Male,27,Age-standardized,718,Self-harm,3,Rate,2015,14.122635091972494,15.630936050454485,12.88646323649141
1,Deaths,87,Luxembourg,2,Female,27,Age-standardized,718,Self-harm,3,Rate,2015,4.626602320494755,5.1620302015862185,4.156208269016186
1,Deaths,87,Luxembourg,3,Both,27,Age-standardized,718,Self-harm,3,Rate,2015,9.240619320583484,10.215364714618945,8.456696309536035
1,Deaths,24,Marshall Islands,1,Male,27,Age-standardized,718,Self-harm,3,Rate,2015,32.12389505208419,43.07063420276578,19.875977390751988
1,Deaths,24,Marshall Islands,2,Female,27,Age-standardized,718,Self-harm,3,Rate,2015,12.492355369213934,16.958154269618813,9.141025991732528
1,Deaths,24,Marshall Islands,3,Both,27,Age-standardized,718,Self-harm,3,Rate,2015,22.61516258339928,29.652473548110304,15.74878648668896
1,Deaths,88,Malta,1,Male,27,Age-standardized,718,Self-harm,3,Rate,2015,7.28906070781285,7.951665070899669,6.646227471046069
1,Deaths,88,Malta,2,Female,27,Age-standardized,718,Self-harm,3,Rate,2015,1.3887426763895863,1.5494190570347959,1.262006858693593
1,Deaths,88,Malta,3,Both,27,Age-standardized,718,Self-harm,3,Rate,2015,4.283715870730156,4.63077709667298,3.9425321612465454
1,Deaths,72,New Zealand,1,Male,27,Age-standardized,718,Self-harm,3,Rate,2015,16.645207459331278,17.549442087364252,15.930848448053606
1,Deaths,72,New Zealand,2,Female,27,Age-standardized,718,Self-harm,3,Rate,2015,5.455274056296681,5.788850642005407,5.123823569749225
1,Deaths,72,New Zealand,3,Both,27,Age-standardized,718,Self-harm,3,Rate,2015,10.85196834860927,11.375327706082874,10.396880591042557
1,Deaths,119,Trinidad and Tobago,1,Male,27,Age-standardized,718,Self-harm,3,Rate,2015,16.176241025930064,20.917457879663043,12.477046586508727
1,Deaths,119,Trinidad and Tobago,2,Female,27,Age-standardized,718,Self-harm,3,Rate,2015,3.7722588761383347,5.076204781748445,2.783330452413792
1,Deaths,119,Trinidad and Tobago,3,Both,27,Age-standardized,718,Self-harm,3,Rate,2015,9.982788131224508,12.801088155939505,7.70359362260604
1,Deaths,105,Antigua and Barbuda,1,Male,27,Age-standardized,718,Self-harm,3,Rate,2015,4.964824216469301,5.670944126432286,4.3015061588335755
1,Deaths,105,Antigua and Barbuda,2,Female,27,Age-standardized,718,Self-harm,3,Rate,2015,0.8608550526366519,0.9881794465735468,0.763839628396256
1,Deaths,105,Antigua and Barbuda,3,Both,27,Age-standardized,718,Self-harm,3,Rate,2015,2.797394866826886,3.160107332690095,2.455772566210971
1,Deaths,151,Qatar,1,Male,27,Age-standardized,718,Self-harm,3,Rate,2015,5.163068057608409,7.209784395592516,3.8853086165770754
1,Deaths,151,Qatar,2,Female,27,Age-standardized,718,Self-harm,3,Rate,2015,1.8474532554788388,2.3426657443278494,1.4554372771154525
1,Deaths,151,Qatar,3,Both,27,Age-standardized,718,Self-harm,3,Rate,2015,4.445872781546382,6.022208470107431,3.424520426769802
1,Deaths,11,Indonesia,1,Male,27,Age-standardized,718,Self-harm,3,Rate,2015,4.701916597006542,6.067574367249941,3.3722667672032647
1,Deaths,11,Indonesia,2,Female,27,Age-standardized,718,Self-harm,3,Rate,2015,1.4444370503866841,1.7497869127081935,1.1779139951570023
